month,date,sp500tr
1999-12,1999-12-31,2021.4
2000-01,2000-01-31,1919.84
2000-02,2000-02-29,1883.5
2000-03,2000-03-31,2067.76
2000-04,2000-04-28,2005.55
2000-05,2000-05-31,1964.4
2000-06,2000-06-30,2012.83
2000-07,2000-07-31,1981.36
2000-08,2000-08-31,2104.43
2000-09,2000-09-29,1993.33
2000-10,2000-10-31,1984.91
2000-11,2000-11-30,1828.42
2000-12,2000-12-29,1837.37
2001-01,2001-01-31,1902.55
2001-02,2001-02-28,1729.08
2001-03,2001-03-30,1619.54
2001-04,2001-04-30,1745.39
2001-05,2001-05-31,1757.09
2001-06,2001-06-29,1714.32
2001-07,2001-07-31,1697.45
2001-08,2001-08-31,1591.18
2001-09,2001-09-28,1462.69
2001-10,2001-10-31,1490.58
2001-11,2001-11-30,1604.92
2001-12,2001-12-31,1618.98
2002-01,2002-01-31,1595.35
2002-02,2002-02-28,1564.59
2002-03,2002-03-28,1623.43
2002-04,2002-04-30,1525.0
2002-05,2002-05-31,1513.77
2002-06,2002-06-28,1405.94
2002-07,2002-07-31,1296.34
2002-08,2002-08-30,1304.86
2002-09,2002-09-30,1163.04
2002-10,2002-10-31,1265.41
2002-11,2002-11-29,1339.89
2002-12,2002-12-31,1261.18
2003-01,2003-01-31,1228.14
2003-02,2003-02-28,1209.71
2003-03,2003-03-31,1221.46
2003-04,2003-04-30,1322.07
2003-05,2003-05-30,1391.72
2003-06,2003-06-30,1409.48
2003-07,2003-07-31,1434.33
2003-08,2003-08-29,1462.3
2003-09,2003-09-30,1446.77
2003-10,2003-10-31,1528.62
2003-11,2003-11-28,1542.07
2003-12,2003-12-31,1622.94
2004-01,2004-01-30,1652.73
2004-02,2004-02-27,1675.7
2004-03,2004-03-31,1650.42
2004-04,2004-04-30,1624.51
2004-05,2004-05-28,1646.8
2004-06,2004-06-30,1678.83
2004-07,2004-07-30,1623.26
2004-08,2004-08-31,1629.83
2004-09,2004-09-30,1647.48
2004-10,2004-10-29,1672.65
2004-11,2004-11-30,1740.33
2004-12,2004-12-31,1799.55
2005-01,2005-01-31,1755.68
2005-02,2005-02-28,1792.63
2005-03,2005-03-31,1760.89
2005-04,2005-04-29,1727.49
2005-05,2005-05-31,1782.46
2005-06,2005-06-30,1784.99
2005-07,2005-07-29,1851.37
2005-08,2005-08-31,1834.48
2005-09,2005-09-30,1849.33
2005-10,2005-10-31,1818.5
2005-11,2005-11-30,1887.28
2005-12,2005-12-30,1887.94
2006-01,2006-01-31,1937.93
2006-02,2006-02-28,1943.19
2006-03,2006-03-31,1967.38
2006-04,2006-04-28,1993.79
2006-05,2006-05-31,1936.41
2006-06,2006-06-30,1939.03
2006-07,2006-07-31,1951.0
2006-08,2006-08-31,1997.42
2006-09,2006-09-29,2048.89
2006-10,2006-10-31,2115.65
2006-11,2006-11-30,2155.89
2006-12,2006-12-29,2186.13
2007-01,2007-01-31,2219.19
2007-02,2007-02-28,2175.78
2007-03,2007-03-30,2200.12
2007-04,2007-04-30,2297.58
2007-05,2007-05-31,2377.75
2007-06,2007-06-29,2338.25
2007-07,2007-07-31,2265.75
2007-08,2007-08-31,2299.71
2007-09,2007-09-28,2385.72
2007-10,2007-10-31,2423.67
2007-11,2007-11-30,2322.34
2007-12,2007-12-31,2306.23
2008-01,2008-01-31,2167.9
2008-02,2008-02-29,2097.48
2008-03,2008-03-31,2088.42
2008-04,2008-04-30,2190.13
2008-05,2008-05-30,2218.5
2008-06,2008-06-30,2031.47
2008-07,2008-07-31,2014.39
